Title,Description,URL
Dorohedoro,"Studios: MAPPA
Genres: Action, Comedy, Fantasy, Horror",https://youtu.be/iH_YJde1yps?si=bUtvvAIrqGmGQhtH
Dororo,"Studios: Tezuka Productions, MAPPA
Genres: Action, Adventure, Fantasy",https://youtu.be/6vk4X0EF0kc?si=BhIPBXaQZ8Y4PaaY
Dragon Ball,"Studios: Toei Animation
Genres: Action, Adventure, Comedy, Fantasy",https://youtu.be/FJqGirLjQn4?si=10GNmJ9xf_XqYfqt
Fate,"Studios: ufotable
Genres: Action, Fantasy",https://youtu.be/gCnCFtbY0ZI?si=YFvdh6j53kG37iZs
Frieren: Beyond Journey's End,"Studios: Madhouse
Genres: Adventure, Award Winning, Drama, Fantasy",https://youtu.be/QoGM9hCxr4k?si=08Xl-xzEBgfEHX8I
Fullmetal Alchemist,"Studios: Bones
Genres: Action, Adventure, Drama, Fantasy",https://youtu.be/elyXcwunIYA?si=Kl1qrVbuMhTEJpTa
Goblin Slayer,"Studios: White Fox
Genres: Action, Adventure, Fantasy",https://youtu.be/0i0z98M2y5U?si=WYInw8xS6msrroBI
Grand Blue Dreaming,"Studios: Zero-G
Genre: Comedy",https://youtu.be/0PpTUtHtwt4?si=ax7kZs8n0PXAZUkp
Haikyu!!,"Studios: Production I.G
Genre: Sports",https://youtu.be/KBkqRCn4INY?si=0m6iqUvjmbHCdyNa
Hell's Paradise,"Studios: MAPPA
Genres: Action, Adventure, Supernatural",https://youtu.be/04WuoQMhhxw?si=blE774ZmeqIm4Xvn
Hellsing,"Studios: Gonzo
Genres: Action, Horror, Supernatural",https://youtu.be/rBPegoYoD9Q?si=jS3CgEfioONf4_h0
High Card,"Studios: Studio Hibari
Genres: Action, Fantasy",https://youtu.be/sReGofRTzwQ?si=ZIuEvJvRXxw5pdoq
High School DxD,"Studios: TNK
Genres: Action, Comedy, Romance, Supernatural, Ecchi",https://youtu.be/NA6kahymBUk?si=iAN7pb-abx5qoEbR
Horimiya,"Studios: CloverWorks
Genre: Romance",https://youtu.be/7DpONAPM3Zw?si=eMZq6snd_FDIcZDf
Hunter x Hunter ,"Studios: Madhouse
Genres: Action, Adventure, Fantasy",https://youtu.be/faqmNf_fZlE?si=vomSNbUf22bEOBYY
